case_id,original_id,variant_graded,dimension,fable5_score,opus_score,agree,disagreement_type,direction
case_01,T21,perturbed,dim1_probability_band,0,0,1,,
case_01,T21,perturbed,dim2_mechanism,1,2,0,adjacent(off-by-one),opus_more_generous
case_01,T21,perturbed,dim4_evidence_quality,3,3,1,,
case_02,T11,perturbed,dim1_probability_band,0,0,1,,
case_02,T11,perturbed,dim2_mechanism,2,2,1,,
case_02,T11,perturbed,dim4_evidence_quality,3,3,1,,
case_03,T12,perturbed,dim1_probability_band,0,0,1,,
case_03,T12,perturbed,dim2_mechanism,1,1,1,,
case_03,T12,perturbed,dim4_evidence_quality,3,3,1,,
case_04,C08,main,dim1_probability_band,2,2,1,,
case_04,C08,main,dim2_mechanism,,,NA,control_dim2_null,
case_04,C08,main,dim4_evidence_quality,3,3,1,,
case_10,C04,main,dim1_probability_band,0,0,1,,
case_10,C04,main,dim2_mechanism,,,NA,control_dim2_null,
case_10,C04,main,dim4_evidence_quality,2,3,0,adjacent(off-by-one),opus_more_generous
case_12,T28,perturbed,dim1_probability_band,1,1,1,,
case_12,T28,perturbed,dim2_mechanism,0,0,1,,
case_12,T28,perturbed,dim4_evidence_quality,3,3,1,,
