cohort,t,n_fraud,n_control,tp,fp,fn,tn,sensitivity,fpr_point_pct,fpr_lo_pct,fpr_upper95_pct,fpr_rule,fisher_p,flag_perm_p
wave-1 (8v22),40,8,22,7,10,1,12,0.875,45.5,24.4,67.8,Clopper-Pearson 95%,0.04735,0.04748
wave-1 (8v22),42,8,22,7,9,1,13,0.875,40.9,20.7,63.6,Clopper-Pearson 95%,0.029563,0.02907
wave-1 (8v22),44,8,22,6,5,2,17,0.75,22.7,7.8,45.4,Clopper-Pearson 95%,0.014597,0.01447
wave-1 (8v22),45,8,22,6,5,2,17,0.75,22.7,7.8,45.4,Clopper-Pearson 95%,0.014597,0.01467
wave-1 (8v22),46,8,22,6,3,2,19,0.75,13.6,2.9,34.9,Clopper-Pearson 95%,0.003145,0.00352
wave-1 (8v22),48,8,22,6,3,2,19,0.75,13.6,2.9,34.9,Clopper-Pearson 95%,0.003145,0.00317
wave-1 (8v22),50,8,22,6,3,2,19,0.75,13.6,2.9,34.9,Clopper-Pearson 95%,0.003145,0.00345
wave-1 (8v22),52,8,22,6,3,2,19,0.75,13.6,2.9,34.9,Clopper-Pearson 95%,0.003145,0.00322
wave-1 (8v22),54,8,22,6,3,2,19,0.75,13.6,2.9,34.9,Clopper-Pearson 95%,0.003145,0.00339
wave-1 (8v22),55,8,22,6,3,2,19,0.75,13.6,2.9,34.9,Clopper-Pearson 95%,0.003145,0.00308
wave-1 (8v22),56,8,22,4,1,4,21,0.5,4.5,0.1,22.8,Clopper-Pearson 95%,0.0112,0.01121
wave-1 (8v22),58,8,22,4,1,4,21,0.5,4.5,0.1,22.8,Clopper-Pearson 95%,0.0112,0.01087
wave-1 (8v22),60,8,22,4,1,4,21,0.5,4.5,0.1,22.8,Clopper-Pearson 95%,0.0112,0.01125
wave-2 (9v23),40,9,23,8,10,1,13,0.8889,43.5,23.2,65.5,Clopper-Pearson 95%,0.023574,0.02309
wave-2 (9v23),42,9,23,7,10,2,13,0.7778,43.5,23.2,65.5,Clopper-Pearson 95%,0.08667,0.087009
wave-2 (9v23),44,9,23,7,7,2,16,0.7778,30.4,13.2,52.9,Clopper-Pearson 95%,0.020719,0.02058
wave-2 (9v23),45,9,23,7,7,2,16,0.7778,30.4,13.2,52.9,Clopper-Pearson 95%,0.020719,0.02075
wave-2 (9v23),46,9,23,7,5,2,18,0.7778,21.7,7.5,43.7,Clopper-Pearson 95%,0.005726,0.00564
wave-2 (9v23),48,9,23,7,5,2,18,0.7778,21.7,7.5,43.7,Clopper-Pearson 95%,0.005726,0.00553
wave-2 (9v23),50,9,23,7,5,2,18,0.7778,21.7,7.5,43.7,Clopper-Pearson 95%,0.005726,0.0061
wave-2 (9v23),52,9,23,7,4,2,19,0.7778,17.4,5.0,38.8,Clopper-Pearson 95%,0.002596,0.00264
wave-2 (9v23),54,9,23,7,4,2,19,0.7778,17.4,5.0,38.8,Clopper-Pearson 95%,0.002596,0.0027
wave-2 (9v23),55,9,23,7,4,2,19,0.7778,17.4,5.0,38.8,Clopper-Pearson 95%,0.002596,0.00255
wave-2 (9v23),56,9,23,5,1,4,22,0.5556,4.3,0.1,21.9,Clopper-Pearson 95%,0.003291,0.00339
wave-2 (9v23),58,9,23,5,1,4,22,0.5556,4.3,0.1,21.9,Clopper-Pearson 95%,0.003291,0.00325
wave-2 (9v23),60,9,23,3,0,6,23,0.3333,0.0,0.0,13.0,rule-of-three,0.016935,0.01683
holdout (3v0),40,3,0,2,,1,,0.6667,,,,,,
holdout (3v0),42,3,0,2,,1,,0.6667,,,,,,
holdout (3v0),44,3,0,1,,2,,0.3333,,,,,,
holdout (3v0),45,3,0,1,,2,,0.3333,,,,,,
holdout (3v0),46,3,0,1,,2,,0.3333,,,,,,
holdout (3v0),48,3,0,1,,2,,0.3333,,,,,,
holdout (3v0),50,3,0,1,,2,,0.3333,,,,,,
holdout (3v0),52,3,0,1,,2,,0.3333,,,,,,
holdout (3v0),54,3,0,1,,2,,0.3333,,,,,,
holdout (3v0),55,3,0,1,,2,,0.3333,,,,,,
holdout (3v0),56,3,0,1,,2,,0.3333,,,,,,
holdout (3v0),58,3,0,1,,2,,0.3333,,,,,,
holdout (3v0),60,3,0,1,,2,,0.3333,,,,,,
